SED_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SED30050,209,820,246,276,30,1857,275,151,1251,615,793,85,3163,8,10,68,58,124,14,276,14,5,69,144,467,30,730,43,8,127,98,272,92,634,977,624,4466,2964,7054,635,16722
SED30051,118,508,209,327,48,1281,85,75,469,393,871,80,1974,0,0,15,17,43,6,76,8,6,25,49,347,23,453,3,3,21,31,238,67,373,241,270,1532,1552,5609,587,9804
SED30052,153,829,268,223,48,1883,347,114,1050,519,478,87,2608,24,14,160,107,176,26,497,30,10,107,157,458,25,783,45,4,174,102,267,127,714,1479,537,5193,3408,6222,781,17623
SED30053,111,541,172,333,45,1270,61,68,409,309,467,63,1370,0,0,15,9,42,7,72,0,0,23,59,639,32,763,4,0,36,46,297,102,489,267,300,1995,1646,8516,838,13569
SED30054,317,1171,277,249,55,3020,463,185,1308,414,305,69,2745,25,22,98,48,61,9,256,57,29,130,91,239,15,564,75,17,169,85,143,52,548,3199,1100,7025,2673,3415,439,17844
SED30055,141,555,243,400,24,1467,79,105,559,635,940,61,2389,0,5,22,31,72,8,138,9,7,45,110,569,30,777,7,4,39,71,353,115,592,387,390,2315,2735,8300,695,14824
SED30056,273,1121,146,144,18,2601,683,184,1752,289,183,61,3151,41,17,228,64,61,11,426,55,19,157,84,193,12,520,86,15,249,66,88,46,550,3715,1210,9838,2182,2749,396,20090
SED30057,86,461,82,200,32,931,106,71,366,183,234,47,1008,3,0,9,9,28,8,55,0,9,35,48,270,22,379,6,3,23,23,150,60,270,362,241,1790,1091,4730,497,8706
SED30058,269,1105,262,254,48,2563,384,166,1286,433,403,73,2740,13,10,87,36,53,3,194,46,21,129,116,319,19,647,58,6,144,75,168,68,518,2270,919,6494,2716,4180,478,17059
SED30059,250,879,313,378,46,2166,330,158,1050,675,636,84,2926,10,5,88,81,191,14,391,28,4,102,159,556,24,879,30,12,127,124,337,99,729,1195,632,4498,3575,7229,764,17893
SED30060,145,640,219,371,47,1523,84,83,576,539,807,95,2173,3,0,25,25,73,8,136,18,11,57,82,548,34,752,8,0,36,53,335,101,538,358,340,2365,2181,7399,735,13377
SED30061,161,822,221,322,35,1943,248,164,1155,447,604,84,2704,4,3,40,14,57,0,120,17,7,69,87,322,19,525,16,0,44,26,210,54,351,1011,491,3629,1920,5103,420,12574
SED30062,188,892,309,446,36,2050,214,165,1220,858,1132,119,3711,8,7,52,61,102,9,239,21,6,94,160,658,30,965,23,3,100,135,429,124,816,941,622,4552,4033,9638,807,20595
SED30063,136,622,200,337,31,1421,71,72,473,432,640,75,1761,3,3,11,21,46,3,84,11,3,23,70,348,14,466,3,3,38,59,216,86,403,331,319,2102,1864,6081,669,11365
SED30064,178,616,243,320,41,1547,235,154,974,699,874,87,3027,6,0,48,50,97,11,218,5,8,65,117,478,33,718,14,7,74,90,290,95,579,603,498,3046,2620,7038,611,14424
SED30065,223,738,226,262,27,1694,246,104,883,509,541,83,2371,14,7,68,51,120,15,277,14,7,90,120,403,25,666,27,9,160,122,273,59,652,896,577,3919,2866,6125,651,15028
SED30066,184,809,212,282,30,1825,304,161,1264,508,619,82,2941,15,13,97,61,95,7,301,26,18,124,147,427,17,756,46,15,159,113,249,101,686,1619,844,6350,3444,6373,666,19293
SED30067,173,676,284,357,32,1684,164,131,862,673,787,62,2681,10,7,48,40,87,11,206,17,9,83,128,582,22,847,25,5,96,102,334,102,667,778,566,3780,3297,7778,607,16806
SED30068,94,432,172,290,28,1110,80,91,455,526,804,72,2027,8,3,14,28,69,8,129,8,3,34,83,374,18,525,5,3,34,48,271,102,460,336,301,1791,2006,5910,641,10986
SED30069,121,544,211,305,26,1380,163,120,770,523,725,87,2391,9,3,45,33,81,3,164,15,10,51,119,423,19,650,21,6,82,90,272,104,578,658,445,2835,2457,6134,625,13161
