SED_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SED79797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,5,0,0,4,0,6,3,18
SED80001,254,1030,311,416,31,2382,272,207,1017,701,853,108,3157,18,16,91,61,100,11,292,48,24,123,135,599,23,949,31,8,108,89,272,105,612,2240,1341,6888,4775,8457,818,24521
SED80002,403,1430,353,386,54,3670,414,228,1299,573,667,82,3254,73,29,184,64,125,7,474,74,24,164,140,432,24,858,69,15,167,87,179,92,609,4746,1873,9826,4085,6707,683,27926
SED80003,401,1330,181,187,48,3872,735,240,1284,311,285,76,2927,150,71,314,59,70,10,671,148,39,268,94,208,18,778,125,21,238,71,103,90,655,8947,2893,14246,2990,3612,690,33384
SED80004,393,1249,296,280,27,3025,820,321,2114,697,600,135,4679,64,29,160,63,106,7,418,73,26,204,147,368,28,855,69,25,184,84,141,76,578,5249,2210,11147,4196,5322,719,28841
SED80005,387,1594,402,419,61,3835,535,228,1392,677,706,94,3627,40,22,151,78,119,17,434,90,43,222,196,509,38,1090,131,20,226,123,200,112,819,6436,2129,12118,5766,7892,887,35230
SED89494,3,7,0,3,0,14,3,0,5,4,8,0,18,0,0,0,0,3,0,3,0,0,0,0,3,0,7,0,0,0,0,0,3,4,22,5,50,16,33,5,139
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED99191,18,52,18,26,11,130,8,5,24,21,24,3,84,0,0,18,8,25,3,48,0,0,4,6,37,0,43,0,0,3,10,25,16,51,63,46,259,220,630,124,1335
SED99494,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,8
SED99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4
