SED_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SED10091,3,61,3,449,24,0,0,14,3,25,0,15,6,61,366,509,19,3,7,3,3,7,0,10,3,57,49,160,1479,321,59,947,116,769,56,593,77,2998,469,7870
SED10092,3,43,0,313,19,0,3,10,0,14,3,8,3,82,363,499,10,0,0,6,0,3,0,0,0,75,77,173,1393,276,34,913,88,760,51,535,81,3247,477,7854
SED10093,0,32,0,182,16,4,0,5,0,14,0,7,3,57,307,419,8,5,9,9,4,6,0,4,3,84,66,190,1225,233,54,817,69,658,40,455,77,3073,422,7122
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,6,118,3,2108,44,3,6,14,7,5,0,5,0,19,737,833,16,0,8,3,3,4,0,7,0,29,24,88,3951,405,73,1348,152,1212,40,543,71,1480,778,10047
SED20207,0,5,0,395,24,6,4,7,9,14,0,9,4,33,346,455,11,0,4,3,3,3,0,4,4,47,43,122,2128,207,65,885,109,1004,40,408,72,1913,415,7247
SED20302,3,25,0,166,18,3,4,4,0,15,0,13,3,65,325,459,19,3,9,5,5,7,3,6,5,94,79,226,1245,359,80,967,115,616,58,549,85,2980,470,7514
SED20401,0,12,0,166,27,3,0,8,0,8,0,8,5,35,233,326,6,3,4,5,0,8,0,0,3,51,36,117,1467,221,40,817,85,602,41,366,69,1818,299,5833
SED20508,0,61,0,276,8,0,3,12,0,15,0,13,0,69,306,426,5,4,0,5,4,5,0,5,0,97,48,181,959,357,45,829,62,490,61,618,80,3279,411,7185
SED20604,0,27,0,191,10,4,3,12,4,13,0,11,7,51,384,495,16,0,6,8,3,4,3,3,5,71,46,173,1409,372,67,1099,108,669,60,542,90,2317,481,7221
