SED_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED52802,108,119,224,217,115,335,0,0,0,3,0,3,16,3,19,6047,4820,10863,348,384,732,175,6,176,70,4,73,79,9,89,132,34,158,130,121,250,7319,5604,12925,47,63,104,0,0,0,0,0,0,101,79,185,18,21,33,4,0,4,165,156,328,0,0,0,0,0,0,11,12,27,3,11,12,3,0,3,18,21,44,74,33,104,260,217,474,20,25,48,3,0,3,3,0,3,22,25,50,327,475,808,738,909,1648,97,74,176,8769,7311,16076
SED52903,0,0,0,291,36,329,0,0,0,0,0,0,3,0,3,330,175,506,143,50,191,26,3,30,3,0,5,8,5,14,107,18,127,166,193,360,1078,486,1563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,7,0,15,12,4,14,0,0,0,0,0,0,0,0,0,6,0,6,12,7,15,61,35,100,58,13,72,1224,549,1771
SED53003,5,0,6,132,50,183,4,0,4,0,0,0,13,15,30,3825,3689,7518,467,561,1021,75,3,78,210,109,313,226,154,383,160,61,223,847,956,1801,5960,5599,11561,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,8,4,3,5,5,0,3,9,7,19,51,45,92,58,50,109,0,0,0,4,0,8,7,3,11,12,6,17,217,246,464,539,672,1205,159,132,288,6938,6700,13639
SED53104,463,462,927,142,40,177,3,0,3,0,0,0,15,7,23,5872,5276,11153,303,317,615,138,3,140,68,3,65,82,7,89,134,21,158,90,101,191,7305,6240,13546,200,135,343,0,0,0,0,0,0,116,121,243,18,26,44,32,12,43,373,297,668,0,0,0,0,0,0,7,5,6,6,11,12,3,0,5,10,11,22,51,27,82,432,339,771,48,65,116,0,0,0,0,0,3,51,70,120,292,391,684,762,1142,1903,69,59,130,8920,8236,17155
SED53205,564,720,1280,519,170,694,3,0,3,4,0,6,19,12,27,10116,8069,18182,682,702,1383,189,7,199,117,5,124,60,7,72,394,77,472,168,178,345,12839,9954,22789,266,290,554,0,0,0,0,0,0,174,213,390,36,42,76,16,5,26,496,551,1053,0,0,0,0,0,0,11,4,14,20,22,41,12,0,18,46,28,74,111,35,148,657,616,1274,107,160,268,12,0,12,6,0,6,126,160,288,219,487,708,1352,1727,3081,188,146,333,15383,13085,28469
SED53306,152,174,325,348,96,450,0,0,0,0,0,0,11,7,17,5165,4884,10049,479,398,872,148,5,153,66,7,76,47,10,56,253,55,313,137,159,297,6816,5795,12609,59,73,127,0,0,0,0,0,0,72,64,137,4,17,21,9,6,10,148,156,301,0,0,0,0,0,0,3,4,11,7,4,5,14,3,14,19,9,30,93,38,132,264,198,464,48,49,103,4,7,9,3,0,3,56,56,114,171,357,533,966,975,1937,115,82,194,8381,7463,15843
SED53402,601,636,1237,703,784,1484,3,0,4,0,4,4,40,20,58,6797,5696,12495,353,562,913,83,3,88,118,25,138,418,119,536,185,53,238,203,186,395,9504,8077,17581,174,163,340,0,0,0,0,0,0,42,65,105,6,23,34,20,8,22,242,264,505,0,0,0,0,0,0,25,26,54,17,30,42,12,5,23,55,66,119,81,46,131,373,375,751,32,41,76,10,7,14,5,0,5,47,53,97,319,398,724,822,1201,2024,104,78,181,11170,10184,21356
SED53502,220,309,523,232,125,362,3,0,5,0,0,0,13,19,27,6540,5547,12089,416,498,913,171,5,175,80,9,93,115,23,132,179,53,235,185,193,375,8160,6777,14937,91,83,178,0,0,0,0,0,0,94,145,238,7,25,35,14,3,15,210,253,464,0,0,0,0,0,0,15,12,21,10,11,18,8,3,10,29,24,51,79,30,107,311,304,618,34,45,71,4,0,9,7,3,10,45,50,92,217,368,584,830,1050,1886,123,72,202,9695,8622,18318
SED53602,83,110,190,366,416,780,0,0,0,0,0,3,66,23,86,7816,5637,13452,511,685,1197,140,3,140,86,7,96,65,9,79,127,54,183,84,71,153,9353,7007,16353,72,108,176,0,0,0,0,0,0,56,59,117,12,9,21,0,3,3,142,179,324,0,0,0,0,0,0,30,34,62,19,35,56,9,4,13,59,68,127,102,39,145,304,295,595,40,57,100,0,5,6,5,3,6,48,65,112,170,285,449,661,864,1527,151,95,247,10680,8606,19287
SED53701,5,15,20,284,53,336,0,0,0,0,0,0,7,0,8,4807,3912,8715,374,374,741,241,10,254,40,5,48,56,38,94,286,83,366,630,502,1131,6724,4990,11716,0,0,4,0,0,0,0,0,0,17,31,47,0,8,4,0,0,0,19,41,58,0,0,0,0,0,0,0,3,9,0,0,4,4,0,7,11,7,13,69,19,89,91,71,163,0,3,3,3,3,3,6,3,8,7,9,15,890,880,1776,921,901,1824,165,114,278,8799,6972,15770
SED53802,65,111,179,510,619,1133,0,0,0,0,0,0,30,9,41,7016,5471,12492,388,591,978,125,0,125,76,10,88,115,17,131,118,45,166,84,103,188,8536,6992,15524,56,82,135,0,0,0,0,0,0,51,53,103,5,16,22,0,0,0,110,151,259,0,0,0,0,0,0,42,46,90,15,34,49,8,0,9,64,79,147,93,46,139,269,275,545,21,23,41,3,5,10,6,0,7,32,29,61,224,353,573,632,950,1575,112,85,197,9797,8677,18472
SED53902,95,112,209,876,920,1802,0,0,3,0,0,3,27,18,39,6463,5550,12013,328,563,891,59,0,59,106,23,130,241,77,312,134,43,181,179,209,390,8514,7519,16034,100,110,204,0,0,0,0,0,0,16,28,41,3,12,13,3,4,10,119,156,275,0,0,0,0,0,0,34,37,75,19,27,46,9,10,13,62,79,135,63,33,97,245,260,504,20,18,34,5,9,14,8,0,10,33,25,59,342,440,784,698,1067,1768,90,75,165,9933,9390,19324
SED54006,28,15,46,330,37,371,3,0,3,0,0,0,0,3,3,6048,5353,11406,521,374,897,166,5,169,58,8,68,27,17,42,185,50,237,200,184,388,7574,6059,13634,9,5,10,0,0,0,0,0,0,23,25,49,0,0,0,0,0,0,32,37,70,0,0,0,0,0,0,19,3,21,9,3,11,6,0,8,36,8,43,84,20,104,154,67,215,10,11,21,13,0,13,3,0,5,22,9,37,344,494,834,1104,1150,2251,161,83,250,9361,7861,17220
SED54104,358,334,694,857,685,1546,0,0,3,3,0,3,34,25,58,5090,4381,9475,266,506,773,26,0,28,97,20,113,572,209,783,120,50,172,750,703,1450,8174,6920,15099,88,66,157,0,0,0,0,0,0,24,27,46,5,12,15,18,11,24,134,112,243,0,0,0,0,0,0,22,17,34,8,21,29,29,12,36,55,53,102,66,32,96,247,201,445,16,14,38,10,3,10,3,3,8,30,20,49,583,675,1254,708,1077,1793,84,88,171,9834,8982,18812
SED54203,7,0,7,3852,417,4270,7,0,7,0,0,0,13,0,17,2415,1786,4198,494,257,750,103,7,111,40,20,56,102,117,218,525,116,644,708,695,1399,8260,3417,11679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,17,6,0,7,15,0,18,35,6,37,55,27,81,88,35,121,0,0,3,13,0,17,7,0,7,27,6,27,205,215,423,730,456,1184,344,108,447,9651,4233,13887
SED54304,618,482,1102,206,70,273,4,0,5,0,0,0,19,9,28,7536,6925,14463,476,538,1016,184,3,186,77,5,83,67,11,83,248,46,289,129,111,236,9553,8206,17765,230,124,355,0,0,0,0,0,0,214,183,396,29,37,69,20,3,27,497,354,844,0,0,0,0,0,0,9,10,21,11,12,18,0,0,4,22,19,44,94,35,130,607,409,1020,70,59,124,3,0,3,3,0,3,79,59,134,366,669,1038,916,1288,2204,101,87,190,11633,10716,22343
SED54404,452,426,879,2024,1918,3948,3,3,8,4,3,8,69,55,121,7160,5713,12876,406,721,1129,52,4,57,143,39,182,680,257,932,266,77,346,2080,1807,3889,13347,11028,24378,240,279,519,0,0,3,0,0,0,17,24,34,7,9,19,25,16,44,291,330,622,0,3,4,0,0,0,37,24,64,23,31,48,38,27,66,98,83,186,92,59,150,486,468,956,42,37,78,19,14,28,11,4,19,71,49,119,559,595,1149,1074,1483,2555,158,116,278,15690,13743,29437
SED54503,15,8,19,2002,302,2304,9,3,13,0,0,0,36,28,65,7747,5353,13100,1220,675,1894,198,5,203,130,27,165,156,60,221,641,165,808,595,641,1232,12756,7267,20018,0,0,3,0,0,0,0,0,0,0,6,3,4,0,4,3,0,3,6,5,12,3,0,3,0,0,0,39,9,45,9,14,20,32,3,34,78,26,103,118,45,162,207,74,278,3,0,4,30,9,32,9,5,11,37,10,50,91,267,355,1295,985,2276,447,166,620,14831,8769,23599
SED54605,184,156,338,231,177,411,0,0,0,8,0,8,20,0,20,6203,5230,11430,298,480,781,54,3,63,54,7,61,184,35,221,139,29,169,91,133,226,7472,6249,13722,397,280,678,0,0,0,0,0,0,104,96,204,9,29,37,11,0,14,523,399,926,0,0,0,0,0,0,22,21,39,15,20,36,0,5,4,39,44,80,60,41,97,619,487,1104,68,71,136,3,0,0,6,0,5,71,69,148,294,372,663,691,1006,1699,62,54,118,9212,8234,17448
SED54705,197,229,426,267,110,382,9,0,9,0,0,0,4,4,17,5213,4380,9589,378,339,715,90,0,93,65,6,78,78,27,106,335,76,412,193,153,344,6837,5334,12171,93,102,193,0,0,0,0,0,0,60,91,149,15,12,23,12,4,18,172,216,388,0,0,0,0,0,0,7,3,9,5,8,11,0,4,3,15,12,28,67,23,93,253,247,501,45,49,94,0,0,0,0,0,0,47,49,95,156,248,409,829,957,1785,109,80,188,8228,6921,15148
SED54804,227,289,515,315,187,505,3,0,4,4,3,7,24,17,39,7258,6922,14181,352,468,821,68,0,75,115,21,134,248,64,308,220,69,291,146,193,340,8994,8230,17219,347,309,662,0,0,0,0,0,0,144,150,296,13,20,33,11,0,8,512,480,997,0,0,0,0,0,0,16,14,26,5,6,14,11,0,11,25,24,49,84,40,127,622,551,1175,53,48,105,7,0,7,3,4,8,61,50,114,361,544,904,820,1246,2062,119,74,196,10978,10695,21670
SED54905,191,158,347,753,744,1502,27,11,33,3,3,4,31,24,58,6196,5456,11650,299,501,798,38,0,38,63,7,73,368,96,469,123,48,177,256,234,491,8352,7295,15643,115,114,228,0,0,0,0,0,0,26,31,55,10,5,16,13,3,10,160,156,311,10,6,17,0,0,0,33,29,55,9,29,43,24,4,30,77,68,148,91,46,138,328,268,601,27,25,51,14,8,17,5,0,4,36,35,68,420,512,934,682,1071,1756,86,56,139,9911,9233,19141
SED55005,211,241,449,317,214,534,3,3,4,0,0,0,34,3,41,9735,7856,17597,519,723,1245,110,0,115,73,0,71,63,13,77,225,39,266,115,114,226,11411,9211,20623,416,336,753,0,0,0,0,0,0,156,167,324,14,38,51,3,0,6,592,544,1137,0,0,0,0,0,0,15,26,37,9,29,43,6,0,8,36,58,92,104,53,154,723,650,1376,85,115,198,9,0,10,0,0,4,93,114,208,291,532,820,1028,1279,2304,112,76,195,13670,11867,25528
SED55102,72,98,167,264,83,349,3,0,3,0,3,3,11,3,12,8093,7293,15394,414,501,923,323,14,330,98,5,106,67,16,83,250,63,308,223,187,406,9809,8269,18075,31,36,63,0,0,0,3,0,3,207,203,413,12,17,25,4,0,4,254,251,508,0,0,0,0,0,0,6,20,21,6,10,13,9,0,10,23,29,46,95,40,133,370,314,687,43,45,90,6,3,7,3,0,7,54,48,100,499,823,1321,1135,1338,2481,147,120,270,12011,10917,22933
SED55206,4,3,8,260,30,289,3,0,3,0,3,5,12,7,19,5844,5398,11245,458,452,917,129,3,131,47,12,57,162,100,255,186,57,242,262,250,505,7367,6313,13683,3,0,5,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,8,3,10,0,0,0,0,0,0,3,0,5,3,0,3,10,0,6,18,3,21,75,29,108,100,41,138,0,0,0,11,0,11,7,0,8,19,0,22,500,772,1276,997,1190,2191,136,113,244,9115,8432,17545
SED55305,370,386,761,1160,1192,2352,0,0,3,4,3,7,46,21,68,7756,5921,13682,431,638,1067,66,0,73,125,18,142,352,107,458,182,73,254,334,310,640,10824,8679,19498,155,159,306,0,0,0,0,0,0,33,29,64,10,11,20,12,7,19,212,203,415,0,0,0,0,0,0,31,27,63,26,42,67,20,12,26,77,86,163,95,47,137,380,336,716,46,40,81,21,10,27,4,0,3,63,49,117,324,392,718,912,1303,2213,139,87,225,12648,10840,23486
SED55401,0,0,0,110,36,149,0,0,0,0,0,0,3,4,6,4739,3679,8413,313,334,648,221,7,234,39,6,43,46,17,65,223,65,286,668,486,1151,6359,4636,10997,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,9,9,16,0,0,0,3,3,7,12,11,25,51,23,73,70,32,105,0,0,0,0,0,0,4,0,4,3,0,8,1104,1025,2130,662,806,1464,132,93,230,8333,6594,14928
SED55504,225,288,516,312,145,457,7,0,7,0,0,0,21,18,34,8351,7151,15497,564,566,1126,268,7,275,85,7,93,47,13,62,243,54,304,139,133,264,10269,8372,18642,151,157,306,0,0,0,0,0,0,194,171,358,22,26,50,10,0,13,378,353,728,0,0,0,0,0,0,4,3,14,11,15,31,6,3,9,28,25,53,109,40,147,510,422,926,71,64,136,3,0,7,3,0,3,79,69,146,303,677,981,928,1333,2262,129,92,220,12212,10971,23184
SED55605,316,397,718,591,157,751,4,5,10,3,0,3,12,6,23,9602,8443,18043,738,643,1389,176,6,180,107,8,116,46,27,67,488,93,586,189,181,369,12281,9959,22245,163,165,332,0,0,0,0,0,0,250,227,471,27,32,59,8,0,10,453,421,872,0,0,0,0,0,0,10,8,12,13,10,26,14,0,10,33,19,55,130,40,172,619,488,1103,97,104,199,9,6,10,7,3,11,109,108,218,240,634,869,1634,1705,3346,159,85,243,15038,12979,28022
SED55706,5,4,4,188,38,225,3,3,8,0,3,3,7,3,10,5537,5011,10546,368,418,784,136,4,138,59,12,74,104,45,151,189,65,253,522,439,966,7109,6038,13153,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,3,0,3,0,0,0,6,0,6,11,3,14,57,26,84,72,30,104,0,0,0,4,0,4,7,3,7,14,3,14,912,896,1812,1062,1281,2338,142,113,252,9312,8360,17675
SED55802,96,153,245,460,324,776,4,0,4,0,0,0,57,15,73,10709,8842,19556,645,800,1436,219,5,224,99,8,104,71,13,83,309,80,393,159,162,320,12827,10395,23224,131,154,285,0,0,0,0,0,0,158,160,323,21,12,33,0,0,0,311,331,642,0,0,0,0,0,0,35,45,86,13,36,51,13,0,18,68,81,149,135,46,181,512,458,974,34,59,90,8,9,17,0,3,8,41,69,108,268,521,788,1150,1507,2664,163,113,271,14955,13066,28026
SED55905,114,131,242,319,274,593,3,0,5,3,5,5,19,7,26,5894,5242,11136,355,391,751,96,0,98,84,12,98,142,46,195,154,37,192,112,138,250,7302,6282,13588,161,136,302,0,0,0,0,0,0,81,102,182,3,14,18,7,3,11,256,262,517,3,0,0,0,0,0,12,22,28,8,14,26,4,3,9,30,43,66,59,34,92,347,333,678,43,37,87,3,5,9,0,0,0,48,44,89,198,389,589,657,1053,1709,91,75,165,8641,8177,16820
SED59494,11,14,24,175,34,207,3,0,3,0,0,0,3,0,3,398,200,603,91,53,138,28,6,32,7,3,9,11,7,12,72,25,97,113,130,244,899,472,1371,9,8,21,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,14,12,30,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,3,4,5,5,15,28,20,48,3,0,3,0,3,3,0,0,0,5,3,8,16,33,48,135,99,229,46,17,69,1128,648,1773
SED59797,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,12,0,13,3,0,3,0,0,0,0,0,0,0,0,0,218,11,226,55,5,56,296,11,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,4,3,6,14,0,14,316,17,334
SED60101,0,0,0,13,0,9,0,0,0,0,0,0,6,0,7,1487,1182,2670,84,90,179,69,0,71,32,5,36,3,3,11,40,6,49,118,109,227,1859,1406,3260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,34,29,4,34,0,0,0,0,0,0,3,0,3,3,0,3,205,195,401,167,252,418,34,20,61,2298,1874,4174
SED60106,3,0,3,77,77,162,7,3,9,0,3,3,45,35,83,5418,4839,10259,346,493,843,64,3,63,65,9,71,80,23,99,54,26,77,427,467,899,6586,5978,12566,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,13,4,10,12,4,3,9,7,22,32,54,35,92,67,56,128,0,0,3,0,3,3,0,3,3,3,5,7,202,287,486,592,1024,1615,54,57,107,7494,7419,14915
SED60112,3,0,3,54,59,107,0,0,0,0,0,0,16,11,24,4168,3834,8006,275,388,662,46,3,50,67,8,76,89,14,106,36,18,59,194,181,370,4950,4513,9464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,3,15,0,3,5,6,10,19,47,32,84,57,46,103,0,0,0,0,0,0,4,0,10,4,4,6,158,225,390,459,809,1271,32,33,67,5673,5628,11301
SED60115,0,0,0,93,117,212,5,0,5,0,0,0,29,29,55,4677,3972,8643,329,434,756,73,3,74,48,10,58,52,21,74,50,20,69,246,225,474,5599,4824,10427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,0,0,5,13,18,4,10,19,3,0,3,15,26,45,64,43,108,84,72,149,0,0,0,4,0,5,6,4,10,5,7,14,138,180,322,581,927,1507,85,80,158,6491,6082,12580
SED60207,0,0,5,38,25,66,3,0,3,0,4,3,10,25,33,4825,4436,9264,312,434,746,93,0,96,49,5,54,43,8,50,75,21,103,235,226,462,5696,5187,10885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,0,3,5,41,13,56,40,20,66,0,0,0,0,4,4,3,0,4,3,4,11,207,245,451,599,889,1491,68,57,125,6627,6401,13022
SED60208,0,0,3,67,43,104,0,0,3,0,0,0,6,25,32,4758,4271,9036,294,363,660,119,3,117,53,7,57,38,10,48,55,22,75,214,191,407,5604,4938,10544,0,0,0,0,0,0,0,0,0,5,0,5,0,3,3,0,0,0,5,3,3,0,0,0,0,0,0,5,0,6,0,3,3,0,0,3,7,7,17,44,11,58,59,20,79,0,0,0,0,0,0,3,3,6,3,4,3,247,279,526,645,952,1590,70,69,137,6629,6260,12886
SED60209,0,0,0,44,21,70,0,0,0,4,0,4,10,12,21,4754,4134,8893,375,369,742,139,4,144,94,30,125,33,10,42,91,31,127,310,299,606,5857,4919,10780,0,0,0,0,0,0,0,0,0,7,3,6,0,0,0,0,0,0,7,3,6,0,0,0,0,0,0,9,3,11,3,3,6,0,0,3,14,3,20,47,26,72,67,34,94,0,0,0,0,0,0,0,0,0,3,0,3,374,394,766,633,902,1540,98,98,191,7029,6346,13377
SED60214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,36,65,4,7,6,3,0,5,0,0,0,0,0,0,0,0,0,3,4,6,43,43,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,13,0,3,5,50,49,101
SED60302,0,0,0,83,106,183,0,0,0,0,0,0,8,3,14,1649,1422,3066,133,191,323,38,0,39,21,0,21,6,3,9,14,7,20,35,24,59,1979,1747,3732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15,6,6,15,0,3,4,18,15,30,15,12,23,28,28,58,0,0,0,0,0,0,0,0,0,0,0,0,27,63,92,192,313,511,23,13,38,2258,2167,4426
SED60303,0,0,3,323,483,804,0,0,0,0,4,4,62,34,95,5073,4285,9350,444,681,1122,81,0,87,116,10,126,118,25,146,45,27,70,256,181,436,6519,5727,12246,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,12,42,57,17,30,49,10,3,10,37,80,113,69,47,110,110,123,235,0,0,0,4,8,10,0,0,0,7,8,16,143,184,327,562,1052,1610,91,96,190,7428,7195,14623
SED60304,4,0,6,348,409,764,0,0,3,0,4,3,59,47,100,4087,3564,7651,320,674,989,49,0,49,112,30,145,370,142,515,69,34,105,1473,1707,3180,6884,6626,13507,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,6,16,23,10,26,36,9,19,30,27,57,85,87,58,142,115,117,235,4,0,7,12,8,17,5,9,12,18,16,30,402,471,876,711,1166,1878,52,60,117,8192,8450,16641
SED60305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,68,147,0,7,8,4,0,4,0,0,0,0,0,0,0,0,0,3,3,10,91,78,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,3,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,7,19,30,4,0,4,110,109,219
SED60310,5,7,14,232,295,525,0,0,0,4,0,8,21,13,33,3031,2559,5595,244,476,719,28,0,27,65,3,66,183,44,226,50,20,65,447,406,856,4301,3827,8130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,7,16,24,4,22,28,0,8,6,12,42,56,42,37,83,58,81,143,0,0,0,4,3,9,0,4,3,8,9,12,329,324,653,451,763,1214,44,34,75,5189,5043,10227
SED60402,0,0,0,13,20,35,0,0,0,0,0,0,0,0,0,812,693,1502,35,76,108,19,0,19,11,0,17,0,0,0,3,3,6,3,5,9,894,795,1689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,6,6,0,0,0,0,12,16,7,4,11,8,14,22,0,0,0,0,0,0,0,0,0,0,0,0,22,32,51,89,161,248,4,10,13,1012,1013,2025
SED60405,4,3,5,131,197,334,0,0,0,0,0,0,3,3,5,5400,4597,10001,351,543,894,126,7,133,63,11,70,41,11,54,75,25,103,195,146,341,6400,5543,11936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,25,42,68,17,23,38,0,5,5,39,77,114,82,58,140,116,136,258,0,0,0,6,11,12,7,0,5,12,12,17,483,533,1012,651,1169,1818,103,64,161,7753,7448,15203
SED60410,0,0,0,125,142,260,0,0,0,0,0,0,5,0,4,1609,1436,3043,122,198,315,20,0,23,16,0,22,16,0,20,17,3,21,60,60,121,1984,1841,3830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,17,8,7,16,3,0,3,17,17,38,23,13,38,39,33,72,0,0,0,0,3,3,0,0,3,3,8,10,86,119,203,218,374,597,13,19,29,2340,2394,4736
SED60411,4,3,5,422,543,963,0,0,0,0,0,0,15,14,31,5090,4635,9727,335,637,972,62,0,63,103,9,113,118,26,146,48,22,79,154,158,310,6354,6058,12414,3,0,3,0,0,0,0,0,0,3,0,5,0,0,0,4,0,4,6,3,13,0,0,0,0,0,0,15,53,67,5,20,28,3,7,8,28,85,112,66,37,107,103,122,223,4,0,4,6,3,9,5,0,8,13,4,18,184,263,444,617,1101,1720,64,51,112,7336,7598,14938
SED60413,0,0,0,111,152,270,0,0,0,0,0,0,3,7,7,3512,3167,6679,195,337,526,84,3,86,43,6,49,21,4,26,53,18,69,76,66,140,4100,3760,7857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,32,38,12,22,33,0,0,0,22,56,72,39,19,65,63,80,141,0,0,0,0,3,3,3,0,5,3,6,7,199,223,417,368,750,1119,39,38,80,4773,4844,9617
SED60501,0,0,0,20,11,31,3,0,3,0,3,3,5,0,5,2531,2181,4710,167,173,340,97,3,100,20,0,19,19,8,29,60,18,82,246,227,470,3165,2627,5798,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,6,5,3,3,5,0,0,0,3,4,11,27,9,34,37,20,52,0,0,0,0,0,0,0,0,0,0,3,7,375,346,725,378,575,950,75,56,129,4029,3626,7660
