SED_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED40014,52,63,119,305,335,637,0,3,3,9,13,19,7,3,8,6510,5710,12215,290,385,673,100,0,96,80,4,78,34,8,42,97,18,114,69,60,128,7554,6588,14146,15,0,19,0,0,0,0,0,0,60,60,120,0,6,7,0,0,0,74,76,151,0,0,0,0,0,0,19,54,74,14,15,35,3,4,4,41,75,110,78,59,142,198,208,403,3,9,10,4,0,7,7,0,4,9,13,25,213,344,556,697,1289,1984,47,42,91,8724,8479,17207
SED40015,0,0,0,71,22,94,0,3,3,0,0,0,10,19,35,5185,4494,9670,331,332,663,112,3,108,58,4,58,59,23,78,103,21,131,453,374,827,6380,5289,11672,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,7,0,7,0,0,0,0,0,3,15,0,13,59,20,78,75,18,94,0,0,0,4,0,4,5,3,8,10,0,14,623,602,1224,727,960,1690,106,98,203,7919,6977,14893
SED40016,3,10,19,513,791,1307,0,0,0,0,0,0,22,3,31,5313,4102,9413,230,364,594,77,3,77,63,5,68,51,4,55,75,18,90,86,94,174,6432,5397,11823,7,7,11,0,0,0,0,0,0,8,3,6,0,0,0,0,0,0,16,8,22,0,0,0,3,9,11,48,123,170,10,28,39,6,7,13,73,167,240,53,23,72,134,202,334,0,0,3,8,10,16,3,0,3,11,6,22,159,229,385,542,863,1401,59,47,100,7332,6735,14072
SED40017,0,4,3,67,11,76,0,0,0,0,0,0,13,9,21,4917,4342,9257,313,294,604,104,4,102,65,8,70,75,21,94,105,37,139,408,307,710,6061,5025,11086,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,11,0,8,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,6,57,19,80,70,22,91,0,0,0,0,0,0,3,0,3,4,0,8,572,507,1077,660,1017,1683,95,87,181,7459,6658,14126
SED40018,4,0,4,361,51,412,5,3,7,0,0,0,42,18,59,4662,3849,8510,432,418,853,62,0,62,70,12,85,86,24,111,108,30,141,443,562,999,6278,4960,11237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,76,6,0,6,5,3,9,91,3,92,57,17,75,147,23,171,0,0,3,8,3,9,0,3,8,12,6,19,193,232,428,823,811,1638,98,79,171,7546,6116,13663
SED40019,3,4,5,50,0,53,0,0,0,0,0,3,3,3,7,4381,3707,8086,263,225,492,159,5,169,25,3,25,28,8,35,111,31,136,455,293,756,5481,4281,9764,0,3,3,0,0,0,0,0,0,4,13,15,0,3,7,0,0,0,8,15,19,0,0,0,0,0,0,3,5,7,0,0,0,0,0,3,3,4,7,57,14,72,64,32,96,0,3,3,0,0,0,3,0,4,3,5,13,551,525,1073,661,879,1539,98,91,187,6862,5807,12672
SED40020,0,3,4,27,4,30,3,0,0,0,0,0,6,5,11,4717,3940,8659,321,528,844,104,3,108,55,3,56,51,11,60,87,32,114,274,214,485,5641,4744,10390,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,5,18,19,0,3,4,0,0,0,4,20,28,59,29,87,65,49,115,0,0,0,0,0,0,6,0,12,6,0,9,389,384,770,515,813,1325,94,71,166,6714,6061,12776
SED40021,6,7,9,657,856,1515,3,0,5,0,3,4,38,23,64,5398,4413,9808,245,569,813,78,0,78,64,11,72,143,26,174,81,34,114,130,133,267,6851,6069,12919,13,6,13,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,12,9,21,0,0,0,0,0,3,35,59,96,13,42,53,10,7,17,55,107,167,61,45,103,133,160,294,6,0,4,8,10,10,6,0,12,13,7,24,270,362,631,576,1021,1598,65,64,127,7910,7691,15600
SED40022,15,5,19,255,234,489,0,0,0,0,0,3,6,3,10,6084,5258,11341,262,383,641,138,3,143,45,0,49,51,12,69,92,35,124,173,168,341,7120,6111,13235,6,0,6,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,16,5,20,0,0,0,3,0,3,86,98,181,12,28,45,0,3,3,105,125,229,53,37,92,176,168,347,3,0,9,6,11,17,6,3,12,21,16,35,598,702,1299,718,1207,1927,69,76,140,8699,8274,16978
SED40023,223,258,484,80,41,115,5,0,4,0,0,3,13,3,18,6019,5277,11293,325,379,702,107,0,112,49,5,58,32,16,48,104,22,126,122,129,246,7070,6135,13209,47,47,97,0,0,0,0,7,5,56,69,126,9,12,24,15,0,15,127,135,266,0,0,0,0,0,0,0,14,16,4,4,7,3,0,3,5,17,24,75,33,110,206,188,396,24,32,57,3,0,0,3,3,6,31,35,65,216,367,584,771,1303,2077,84,77,157,8382,8107,16491
